participant,iEvent,eScorePair,eScoreEvent,eScoreDetail,beCount,bpCount,weCount
1,1,38,14,45,7,6,6
1,2,19,11,19,5,3,6
1,3,22,22,22,4,6,4
1,4,11,10,8,4,3,1
1,5,14,2,7,6,3,1
1,6,22,16,23,6,5,0
1,7,4,11,6,1,3,3
1,8,25,11,11,5,5,5
1,9,18,9,20,2,4,3
1,10,21,10,11,3,6,7
1,11,30,24,28,4,7,4
1,12,20,15,5,2,5,3
1,13,30,20,27,5,4,6
1,14,25,20,30,3,7,4
1,15,14,9,8,3,3,1
1,16,16,2,11,1,4,3
1,17,10,4,9,2,3,1
1,18,16,6,6,7,5,0
1,19,27,29,29,2,6,10
1,20,26,19,28,2,5,7
1,21,16,16,20,3,4,4
1,22,20,1,6,3,5,2
1,23,16,26,37,6,4,7
1,24,32,2,28,6,6,4
1,25,13,11,19,4,4,2
1,26,38,22,45,3,6,10
1,27,14,18,19,3,4,2
1,28,22,20,23,4,5,2
1,29,27,12,29,4,4,11
1,30,12,14,18,5,4,3
1,31,18,1,10,4,3,2
1,32,2,5,2,0,2,1
1,33,4,5,4,1,1,2
1,34,24,26,33,4,6,5
1,35,20,11,13,3,5,2
1,36,16,15,13,2,3,3
1,37,18,9,18,3,3,3
1,38,10,5,12,0,4,1
1,39,20,4,2,4,4,3
1,40,16,8,4,0,5,4
1,41,7,10,9,0,4,1
1,42,26,15,20,1,4,8
1,43,29,25,13,5,3,8
1,44,8,7,9,0,3,2
1,45,26,8,19,4,3,6
1,46,18,24,30,5,5,8
1,47,8,0,5,1,1,2
1,48,16,20,24,3,5,3
1,49,18,15,19,3,3,3
1,50,32,4,10,5,5,9
1,51,6,9,8,2,3,0
1,52,42,30,45,10,6,8
1,53,25,24,49,5,4,11
1,54,13,12,3,1,2,8
1,55,14,12,10,3,4,2
1,56,20,20,19,5,6,9
1,57,21,27,31,5,4,5
1,58,22,21,9,3,4,4
1,59,19,11,18,4,6,1
1,60,16,8,2,4,6,6
2,1,41,50,33,8,7,10
2,2,54,48,93,7,6,14
2,3,43,29,56,6,5,15
2,4,54,34,88,9,5,13
2,5,54,28,59,9,4,14
2,6,36,11,47,9,9,6
2,7,52,23,49,5,7,16
2,8,36,6,21,6,3,9
2,9,54,27,44,10,6,11
2,10,60,30,75,9,4,17
2,11,47,31,34,6,6,15
2,12,44,39,52,3,3,19
2,13,58,18,35,7,9,13
2,14,46,40,72,10,4,9
2,15,54,32,32,9,4,14
2,16,60,33,78,7,8,15
2,17,37,21,49,8,6,11
2,18,36,46,58,6,8,9
2,19,38,51,46,7,7,14
2,20,45,12,34,3,8,13
2,21,42,34,57,4,5,14
2,22,27,14,25,6,6,8
2,23,16,36,52,6,7,16
2,24,48,42,51,11,5,13
2,25,29,37,33,5,7,9
2,26,36,30,33,6,10,8
2,27,28,22,34,4,10,14
2,28,41,38,35,5,9,15
2,29,25,44,45,3,10,14
2,30,50,23,43,6,6,13
2,31,36,22,53,7,6,5
2,32,26,26,36,2,6,5
2,33,46,35,52,3,9,11
2,34,46,24,47,4,6,13
2,35,46,42,72,5,4,14
2,36,60,43,64,6,9,15
2,37,36,24,11,1,9,8
2,38,44,22,34,4,6,12
2,39,36,36,38,2,9,7
2,40,38,0,32,3,8,10
2,41,54,19,57,6,6,15
2,42,38,44,54,4,6,12
2,43,26,31,26,3,9,6
2,44,42,56,68,4,9,15
2,45,30,18,28,1,8,6
2,46,40,40,20,7,7,6
2,47,37,33,70,4,8,16
2,48,25,31,31,3,7,10
2,49,13,13,8,4,5,12
2,50,54,35,44,3,8,16
2,51,40,20,25,5,7,8
2,52,66,40,55,9,11,13
2,53,28,27,24,3,6,7
2,54,41,38,59,4,8,17
2,55,49,29,54,4,14,11
2,56,42,34,26,0,7,14
2,57,27,22,30,3,7,8
2,58,34,17,20,5,8,4
2,59,23,23,35,4,8,11
2,60,31,22,27,7,7,8
3,1,21,36,45,6,4,11
3,2,42,22,32,7,5,9
3,3,27,32,41,11,7,9
3,4,26,20,28,3,9,3
3,5,27,11,21,6,4,8
3,6,29,27,21,4,6,8
3,7,32,8,20,4,6,6
3,8,24,18,22,4,6,4
3,9,30,24,44,4,5,6
3,10,18,19,16,3,6,6
3,11,36,36,42,6,3,9
3,12,38,38,40,6,6,7
3,13,21,32,42,4,9,8
3,14,31,34,33,7,6,10
3,15,25,26,33,11,8,7
3,16,38,22,40,4,10,5
3,17,22,14,19,4,5,4
3,18,40,20,35,5,9,6
3,19,34,24,52,4,6,7
3,20,41,40,70,9,8,7
3,21,39,29,51,8,5,9
3,22,48,33,81,12,5,10
3,23,32,28,53,3,7,6
3,24,34,34,12,5,3,9
3,25,36,36,48,2,5,11
3,26,42,31,52,4,7,10
3,27,36,31,46,5,10,3
3,28,48,44,56,10,7,7
3,29,46,46,53,5,7,11
3,30,34,23,48,6,5,6
3,31,38,38,47,3,11,5
3,32,36,36,36,5,8,5
3,33,30,35,18,4,10,7
3,34,22,21,19,5,6,6
3,35,21,45,37,8,10,8
3,36,36,35,39,10,8,5
3,37,39,40,63,5,3,15
3,38,16,29,20,7,9,3
3,39,42,18,54,12,7,5
3,40,40,27,52,5,8,7
3,41,38,9,19,6,6,7
